Time,Temp,Grnd.Temp,Humidity,Pressure,Avg.Temp,Avg.Humidity,Avg.Pressure,Min.Temp,Max.Temp
15:48:58,24.23,24.62,28.2,1.01,24.23,28.2,1.01,24.23,24.23
15:49:00,24.23,24.62,28.2,1.01,24.23,28.2,1.01,24.23,24.23
15:49:01,24.24,24.62,28.18,1.01,24.23,28.19,1.01,24.23,24.24
15:49:03,24.24,24.56,28.17,1.01,24.23,28.19,1.01,24.23,24.24
15:49:05,24.23,24.62,28.24,1.01,24.23,28.2,1.01,24.23,24.24
15:49:07,24.24,24.62,28.17,1.01,24.23,28.19,1.01,24.23,24.24
15:49:09,24.24,24.62,28.1,1.01,24.23,28.18,1.01,24.23,24.24
15:49:11,24.24,24.62,28.07,1.01,24.24,28.17,1.01,24.23,24.24
15:49:13,24.24,24.62,28.12,1.01,24.24,28.16,1.01,24.23,24.24
15:49:15,24.24,24.62,28.13,1.01,24.24,28.16,1.01,24.23,24.24
15:49:17,24.3,25.0,32.2,1.01,24.24,28.53,1.01,24.23,24.3
15:49:19,24.29,25.06,31.1,1.01,24.25,28.74,1.01,24.23,24.3
15:49:21,24.29,25.06,29.52,1.01,24.25,28.8,1.01,24.23,24.3
15:49:23,24.3,25.12,29.32,1.01,24.25,28.84,1.01,24.23,24.3
15:49:25,24.34,25.31,29.56,1.01,24.26,28.89,1.01,24.23,24.34
15:49:27,24.33,25.44,29.42,1.01,24.26,28.92,1.01,24.23,24.34
15:49:29,24.34,25.56,29.08,1.01,24.27,28.93,1.01,24.23,24.34
15:49:31,24.35,25.69,29.11,1.01,24.27,28.94,1.01,24.23,24.35
15:49:33,24.35,25.81,29.15,1.01,24.28,28.95,1.01,24.23,24.35
15:49:34,24.37,25.75,28.96,1.01,24.28,28.95,1.01,24.23,24.37
15:49:36,24.37,25.69,29.19,1.01,24.29,28.96,1.01,24.23,24.37
15:49:38,24.37,25.62,29.16,1.01,24.29,28.97,1.01,24.23,24.37
